term,description
"Architectonics (англ. акитэктоникс), Architectonique (фр. аршитектоник), Architektonik (нем. архитэктоник), Architettonica (ит. аркитэттоника)",архитектоника
Archiviola di lira (ит. аркивиола ди лира),"старин, смычковый контрабасовый инструмент; то же, что Нrоnеn"
Arco (ит. арко),смычок; coll'arco (коль арко) - [играть] смычком
"Ardent (фр. ардан), avec ardeur (авэк ардэр), Ardente (ит. ардэнтэ)","пылко, пламенно"
Arditatnente (ит. ардитамэнтэ),"Ardito (ардито) - смело, отважно"
Argentin (фр. аржантэн),серебристо
Argerlich (нем. эргерлих),"сердито, раздраженно [Регер]"
"Aria (ит. ариа, англ. ариэ)","ария, песня"
Aria da capo (ит. ариа да капо),3- частная ария (III часть - повторение I); буквально ария сначала
Aria da chiesa (ит. ариа да кьёза),церковная ария
Aria di bravura (ит. ариа ди бравура),бравурная ария
Arie (нем. ариэ),ария
Arietta (ит. ариэтта),"небольшая ария, песенка"
Arioso (ит. ариозо),1) певуче; 2) - небольшой вокальный номер в опере
Armonia (ит. армониа),1) гармония; 2) аккорд
Armonica (ит армоника),стеклянная гармоника
Armonici (ит армоничи),флажолетные звуки
Artnonico (ит. армонико),1) благозвучный; 2) обертон
Armonio (ит. армóнио),фисгармония
"Armoniosamente (ит. армоньозамэнтэ), Armonioso (армоньозо)",гармонично
Armonizzamento (ит. армонидзамэнто),гармонизация
Armonizzare (ap,монидзарэ) – гармонизовать
Armure (фр. армюр),знаки в ключе
Arpa (ит. арпа),арфа
Arpanetta (ит. арпанэтта),маленький инструмент в виде арфы
"Arpege (фр. арпэж), Arpeggio (ит. арпэджо; традиционное произношение арпэджио)",арпеджо; буквально как на арфе
Arpeggiando (арпэнджандо),арпеджируя
Arpeggione (ит. арпэджонэ),"смычковый инструмент, сочетающий признаки виолончели и гитары"
Arrache (фр. аррашэ),"отрывисто, рывком"
"Arrangement (фр. арранжэман, англ. эрэйнджмэнт)",аранжировка
Arret (фр. аррэ),остановка
Arreter (аррэтэ),остановиться
Ars antiqua (лат. аре антикуа),старое искусство (музыка 12- 13 вв.)
"Arsis (rp., лат. арсис)","слабое, безакцентное время такта; в дирижерской практике - поднятие руки"
Ars nova (лат. арс нова),новое искусство (музыка 14 в.)
